Date,Price,Open,High,Low,Vol.,Change %
8/25/2021,"36,630.30","36,289.70","36,706.00","35,873.50",21.32M,1.36%
8/24/2021,"36,138.30","36,024.80","36,516.80","35,949.10",28.51M,0.53%
8/23/2021,"35,949.10","37,084.40","37,084.40","35,949.10",42.67M,-3.06%
8/20/2021,"37,084.40","38,446.70","38,598.00","36,478.90",64.13M,-3.73%
8/19/2021,"38,522.30","38,295.30","38,825.10","38,143.90",35.76M,0.99%
8/18/2021,"38,143.90","38,219.60","38,522.30","37,765.50",26.21M,0.00%
8/17/2021,"38,143.90","37,576.30","38,522.30","37,538.50",59.13M,1.92%
8/16/2021,"37,425.00","37,084.40","37,462.80","37,046.50",28.89M,1.64%
8/13/2021,"36,819.50","36,630.30","36,857.30","36,100.50",33.55M,0.52%
8/12/2021,"36,630.30","37,008.70","37,084.40","36,630.30",28.01M,-1.12%
8/11/2021,"37,046.50","37,689.80","37,689.80","37,046.50",28.46M,-0.91%
8/10/2021,"37,387.10","37,916.90","38,219.60","37,160.10",30.31M,-0.60%
8/9/2021,"37,614.20","36,403.20","37,614.20","36,289.70",39.55M,2.69%
8/6/2021,"36,630.30","36,781.60","37,160.10","36,554.60",26.13M,-0.82%
8/5/2021,"36,933.00","35,911.30","37,084.40","35,835.60",38.62M,2.74%
8/4/2021,"35,949.10","35,987.00","36,327.60","35,759.90",31.63M,0.53%
8/3/2021,"35,759.90","35,797.80","36,062.70","35,381.50",36.79M,0.00%
8/2/2021,"35,759.90","35,646.40","36,251.90","35,495.00",31.47M,-0.11%
